date,spend,kpi
2023-01-02,99232.4,8061.4
2023-01-09,100044.9,8023.4
2023-01-16,98645.8,8096.2
2023-01-23,105463.4,8232.3
2023-01-30,105899.0,8269.3
2023-02-06,104592.7,8317.7
2023-02-13,98980.5,8451.6
2023-02-20,106010.2,8459.4
2023-02-27,99863.8,8237.6
2023-03-06,102643.9,8434.5
2023-03-13,106526.4,8525.0
2023-03-20,107388.6,8489.2
2023-03-27,106882.4,8645.1
2023-04-03,104016.6,8831.1
2023-04-10,107626.1,8791.5
2023-04-17,103964.7,8577.5
2023-04-24,104578.0,8667.7
2023-05-01,107209.0,8720.4
2023-05-08,103595.8,8582.1
2023-05-15,102929.3,8846.1
2023-05-22,101554.9,8728.3
2023-05-29,104687.9,8516.7
2023-06-05,102933.8,8846.2
2023-06-12,96084.5,8642.8
2023-06-19,101117.5,8573.7
2023-06-26,102215.4,8653.7
2023-07-03,95606.0,8749.3
2023-07-10,101284.8,8752.3
2023-07-17,102885.9,8671.7
2023-07-24,98230.2,8462.7
2023-07-31,99058.0,8537.2
2023-08-07,95233.5,8452.8
2023-08-14,93118.4,8537.3
2023-08-21,99375.4,8356.6
2023-08-28,90689.0,8631.8
2023-09-04,99017.3,8678.8
2023-09-11,88690.1,8317.3
2023-09-18,95246.5,8545.4
2023-09-25,90684.4,8769.5
2023-10-02,97305.4,8693.9
2023-10-09,12368.7,5273.4
2023-10-16,14391.0,5314.5
2023-10-23,12778.0,5327.4
2023-10-30,9647.5,5439.4
2023-11-06,13432.7,5375.4
2023-11-13,9039.2,5264.2
2023-11-20,13263.5,5153.3
2023-11-27,11724.0,5525.1
2023-12-04,10033.2,5629.6
2023-12-11,12827.9,5453.2
2023-12-18,12487.3,5584.9
2023-12-25,12180.6,5680.8
2024-01-01,11007.7,5530.2
2024-01-08,13562.5,5619.9
2024-01-15,10679.3,5766.7
2024-01-22,14198.2,5635.4
2024-01-29,9930.0,5707.5
2024-02-05,11776.5,5721.5
2024-02-12,14107.2,5666.1
2024-02-19,13890.9,5667.5
